[2021-12-17 14:30:12.632482]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:32:19.279463]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:32:22.869429]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:35:16.209229]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:35:19.859812]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:35:47.515090]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:35:51.360493]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:36:41.534154]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:36:45.361133]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:37:09.053098]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:37:12.863542]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:37:16.524370]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:37:20.370299]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:37:24.059288]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:37:27.868564]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:37:55.957232]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:37:59.873006]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:45:28.941730]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:45:32.865822]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:46:04.029440]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:46:07.862527]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:46:30.957809]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:46:34.858483]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 14:49:17.368438]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 14:49:21.361571]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:19:13.518705]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:19:36.037248]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:19:58.439433]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:20:20.848819]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:20:43.429921]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:20:59.590770]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:21:22.026478]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:21:44.388599]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:22:07.429714]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:22:30.443581]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:22:53.450334]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:23:16.446808]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:23:39.454244]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:24:02.448703]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:24:20.769826]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:27:09.515035]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:29:49.604097]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:29:53.369560]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:30:00.797506]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:30:05.974767]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:30:09.863609]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:30:17.289626]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:30:23.208825]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:30:26.873662]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:30:59.447071]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:31:30.202233]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:31:34.367638]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:32:07.453197]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:32:38.266062]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:32:41.864956]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:33:14.475935]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:33:45.216718]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:33:48.860327]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:34:21.459739]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:34:51.657139]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:34:55.371377]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:35:28.446243]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:35:59.225037]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:36:02.864200]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:36:35.452906]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:37:06.206227]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:37:09.862008]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:37:42.444104]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:38:12.622690]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:38:16.372445]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:38:46.550829]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:39:17.210784]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:39:17.866092]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:39:48.207662]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:39:59.491371]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:40:30.182505]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:40:32.869936]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:41:03.202001]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:41:34.219221]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:41:36.872912]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:04.063563]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:06.859196]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:09.735583]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:42:11.519572]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:14.359496]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:16.529075]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:42:17.889063]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:42:20.865212]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:42:51.191463]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:43:21.361183]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:43:24.361460]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:43:35.203535]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:43:36.636272]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:43:39.366940]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-17 15:44:07.180975]: Camera 3; IP Address: csecamera1 Offline
[2021-12-17 15:44:37.330240]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-17 15:44:40.862357]: Camera 1; IP Address: 8.8.8.8 Offline
[2021-12-17 15:45:11.100176]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:01:13.191673]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:01:18.138697]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:01:22.360257]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:01:54.757744]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:02:25.514384]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:02:29.363509]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:02:56.076093]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:02:59.863293]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:03:32.658645]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:04:02.876325]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:04:06.371679]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:04:39.673186]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:04:59.288999]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:05:04.563414]: Camera 1; IP Address: 8.8.8.8 Online
[2021-12-19 20:05:08.367133]: Camera 2; IP Address: asdfasdf.com Offline
[2021-12-19 20:05:41.683133]: Camera 3; IP Address: csecamera1 Offline
[2021-12-19 20:06:12.533824]: Camera 1; IP Address: 8.8.8.8 Online
